Month and year,Ad unit,Impressions,Viewability,Ad requests
10/2021,NewTelediarioMx,593,"0,69",135
10/2021,Telediario_APP,156165,"0,79",21418
11/2021,AMP_MMTelediarioCR,86018,"0,69",14606
11/2021,AMP_NewTelediarioMx,35948,"0,53",10398
11/2021,APP_MMTelediarioCR,22826,"0,79",4046
11/2021,APP_NewTDMx,46568,"0,77",6092
11/2021,Default,65059,"0,44",16680
11/2021,MMBajio,12507,"0,39",1763
11/2021,MMCostaRica,4886,"0,06",1003
11/2021,MMDigital,9266668,"0,52",11593060
11/2021,MMDigital_App,38,"0,79",4100
11/2021,MMDigital_Passback,271,"0,00",63800
11/2021,MMLaguna,421875,"0,40",66820
11/2021,MMLaguna_App,5495,"0,81",685
11/2021,MMPuebla,202253,"0,38",33266
11/2021,MMRadio,361907,"0,44",49720
11/2021,MMTelediarioBajio,165303,"0,30",21373
11/2021,MMTelediarioCR,3357353,"0,24",4957941
11/2021,MMTelediarioGDL,664221,"0,31",83122
11/2021,MMTelediarioJuarez,921,"0,85",104
11/2021,MMTelediarioLaguna,9986247,"0,22",16518482
11/2021,MMTelediarioMty,16570242,"0,29",21287504
11/2021,MMTelediarioMx,3693595,"0,28",4862249
11/2021,MMTelediarioSaltillo,982,"0,52",1317
11/2021,MultimediosTest,0,"0,00",600
11/2021,Multimedios_APP,404429,"0,82",48809
11/2021,Multimedios_Radio,80834,"0,91",8304
11/2021,NewTelediarioMx,2955348,"0,37",5673200
11/2021,Tablet_APP_NewTDMx,320,"0,93",34300
11/2021,Telediario_APP,159009,"0,83",19355
12/2021,AMP_MMTelediarioCR,127282,"0,59",16309
12/2021,AMP_NewTelediarioMx,3259158,"0,62",3954727
12/2021,APP_MMTelediarioCR,42115,"0,78",7514
12/2021,APP_NewTDMx,42025,"0,77",62810
12/2021,Default,18428,"0,47",3693
12/2021,MMBajio,10342,"0,38",1468
12/2021,MMCostaRica,915,"0,06",188
12/2021,MMDigital,6845333,"0,51",8099875
12/2021,MMDigital_App,46,"0,74",4900
12/2021,MMDigital_Passback,141801,"0,18",23523
12/2021,MMLaguna,249157,"0,47",36414
12/2021,MMLaguna_App,1078,"0,92",151
12/2021,MMPuebla,1014,"0,42",1787
12/2021,MMRadio,401456,"0,43",55353
12/2021,MMTelediarioBajio,3893,"0,84",438
12/2021,MMTelediarioCR,3086418,"0,32",4464539
12/2021,MMTelediarioGDL,2932,"0,40",419
12/2021,MMTelediarioJuarez,827,"0,87",95400
12/2021,MMTelediarioLaguna,1125,"0,09",378
12/2021,MMTelediarioMty,5446,"0,07",1309
12/2021,MMTelediarioMx,2315,"0,12",598
12/2021,MMTelediarioSaltillo,8795,"0,53",1205
12/2021,Multimedios_APP,154925,"0,89",18688
12/2021,Multimedios_Radio,7765,"0,90",8004
12/2021,NewTelediarioMx,26541377,"0,25",36928221
12/2021,Tablet_APP_NewTDMx,1227,"0,96",128
12/2021,Telediario_APP,1942,"0,92",2395
01/2022,AMP_MMTelediarioCR,156479,"0,61",19556
01/2022,AMP_NewTelediarioMx,2616161,"0,63",3178225
01/2022,APP_MMTelediarioCR,27249,"0,80",5003
01/2022,APP_NewTDMx,52317,"0,75",86136
01/2022,Default,21033,"0,49",4134
01/2022,MMBajio,5733,"0,40",909
01/2022,MMCostaRica,34,"0,06",11200
01/2022,MMDigital,8416985,"0,48",12306826
01/2022,MMDigital_App,38,"0,63",4400
01/2022,MMDigital_Passback,220641,"0,26",39108
01/2022,MMLaguna,222618,"0,53",34138
01/2022,MMLaguna_App,847,"0,94",114
01/2022,MMPuebla,5246,"0,55",858
01/2022,MMRadio,461216,"0,45",66852
01/2022,MMTelediarioBajio,1605,"0,91",436
01/2022,MMTelediarioCR,4317845,"0,31",7556930
01/2022,MMTelediarioGDL,2232,"0,38",276
01/2022,MMTelediarioJuarez,214,"0,83",89000
01/2022,MMTelediarioLaguna,309,"0,07",108
01/2022,MMTelediarioMty,1002,"0,08",292
01/2022,MMTelediarioMx,475,"0,16",113
01/2022,MMTelediarioSaltillo,8249,"0,45",1479
01/2022,MultimediosTest,0,"0,00",400
01/2022,Multimedios_APP,155052,"0,90",18762
01/2022,Multimedios_Radio,7613,"0,88",7838
01/2022,NewTelediarioMx,32986386,"0,24",49052412
01/2022,Tablet_APP_NewTDMx,1471,"0,96",153
01/2022,Telediario_APP,341,"0,91",431
02/2022,AMP_MMTelediarioCR,96833,"0,60",12223
02/2022,AMP_NewTelediarioMx,1993945,"0,63",2461654
02/2022,APP_MMTelediarioCR,22698,"0,83",4631
02/2022,APP_NewTDMx,411446,"0,78",70142
02/2022,Default,14197,"0,47",2802
02/2022,MMBajio,191,"0,42",35800
02/2022,MMCostaRica,111,"0,09",21100
02/2022,MMDigital,7990169,"0,46",10432368
02/2022,MMDigital_App,53,"0,83",5900
02/2022,MMDigital_Passback,166984,"0,34",21915
02/2022,MMLaguna,35777,"0,83",4757
02/2022,MMLaguna_App,636,"0,93",89200
02/2022,MMPuebla,1255,"0,90",217
02/2022,MMRadio,440581,"0,44",63905
02/2022,MMTelediarioBajio,2283,"0,91",386
02/2022,MMTelediarioCR,3119920,"0,37",6685384
02/2022,MMTelediarioGDL,16,"0,06",3100
02/2022,MMTelediarioJuarez,500,"0,83",93000
02/2022,MMTelediarioLaguna,56,"0,04",36500
02/2022,MMTelediarioMty,256,"0,09",129
02/2022,MMTelediarioMx,76,"0,08",22900
02/2022,MMTelediarioSaltillo,8921,"0,53",1420
02/2022,MultimediosTest,2,"1,00",500
02/2022,Multimedios_APP,125773,"0,90",15307
02/2022,Multimedios_Radio,11033,"0,90",11272
02/2022,NewTelediarioMx,17788995,"0,28",27530127
02/2022,Tablet_APP_NewTDMx,1024,"0,95",107
02/2022,Telediario_APP,1947,"0,89",249
03/2022,AMP_MMTelediarioCR,108873,"0,61",13169
03/2022,AMP_NewTelediarioMx,2418358,"0,65",2888508
03/2022,APP_MMTelediarioCR,18668,"0,84",3803
03/2022,APP_NewTDMx,425441,"0,76",73047
03/2022,Default,11357,"0,45",2616
03/2022,MMCostaRica,44,"0,03",18500
03/2022,MMDigital,9427757,"0,49",11601924
03/2022,MMDigital_App,52,"0,90",5300
03/2022,MMDigital_Passback,117838,"0,08",17604
03/2022,MMLaguna,33316,"0,88",4032
03/2022,MMLaguna_App,581,"0,94",81900
03/2022,MMPuebla,1625,"0,90",214
03/2022,MMRadio,445647,"0,45",66148
03/2022,MMTelediarioBajio,3567,"0,89",409
03/2022,MMTelediarioCR,3831587,"0,35",8019522
03/2022,MMTelediarioJuarez,674,"0,80",86000
03/2022,MMTelediarioLaguna,29,"0,03",17600
03/2022,MMTelediarioMty,217,"0,11",99000
03/2022,MMTelediarioMx,37,"0,06",9200
03/2022,MMTelediarioSaltillo,9082,"0,53",1337
03/2022,MultimediosTest,0,"0,00",100
03/2022,Multimedios_APP,147155,"0,90",17746
03/2022,Multimedios_Radio,114592,"0,90",11763
03/2022,NewTelediarioMx,20819417,"0,30",30775258
03/2022,Tablet_APP_NewTDMx,1028,"0,97",107
03/2022,Telediario_APP,1557,"0,89",202
04/2022,AMP_MMTelediarioCR,211861,"0,59",25602
04/2022,AMP_NewTelediarioMx,9547491,"0,67",14076661
04/2022,APP_MMTelediarioCR,26414,"0,81",5001
04/2022,APP_NewTDMx,408257,"0,79",67329
04/2022,Default,6948,"0,45",6638
04/2022,MMBajio,5,"0,00",700
04/2022,MMCostaRica,46,"0,14",13100
04/2022,MMDigital,22821427,"0,42",26668947
04/2022,MMDigital_App,51,"0,78",6300
04/2022,MMDigital_Passback,99009,"0,10",22801
04/2022,MMLaguna,5289,"0,86",1036
04/2022,MMLaguna_App,559,"0,94",78500
04/2022,MMPuebla,787,"0,88",165
04/2022,MMRadio,434682,"0,44",61902
04/2022,MMTelediarioBajio,1944,"0,93",344
04/2022,MMTelediarioCR,5019778,"0,31",10004928
04/2022,MMTelediarioGDL,0,"0,00",700
04/2022,MMTelediarioJuarez,494,"0,84",89600
04/2022,MMTelediarioLaguna,33,"0,11",14800
04/2022,MMTelediarioMty,156,"0,04",71400
