Month and year,Ad unit,Impressions,Viewability,Ad requests
02/2023,APP_Classic,2,"1,00",2600
02/2023,APP_D99,2,"1,00",5200
02/2023,APP_FMtu,3,"1,00",3900
02/2023,APP_Hits,2,"1,00",2600
02/2023,APP_LaCaliente,2,"1,50",6800
02/2023,APP_LaLupe,2,"1,00",5100
02/2023,APP_MMTelediarioCR,1199,"0,86",2387
02/2023,APP_NewTDMx,190659,"0,81",49928
02/2023,APP_RGLaDeportiva,104,"0,92",34700
02/2023,Default,7654,"0,73",11299
02/2023,MMCostaRica,11,"0,00",5600
02/2023,MMDigital,8841824,"0,47",11851405
02/2023,MMDigital_App,0,"0,00",100
02/2023,MMDigital_Passback,12615,"0,08",3002
02/2023,MMLaguna,4298,"0,79",1200
02/2023,MMLaguna_App,276,"0,72",40700
02/2023,MMPuebla,143,"0,89",164
02/2023,MMRadio,212953,"0,47",34865
02/2023,MMTelediarioCR,4792067,"0,29",9825361
02/2023,Multimedios_APP,103783,"0,88",20188
02/2023,Multimedios_Radio,9235,"0,85",9596
02/2023,NewTelediarioMx,12308859,"0,27",14976509
02/2023,Tablet_APP_Classic,0,"0,00",1500
02/2023,Tablet_APP_D99,0,"0,00",3100
02/2023,Tablet_APP_FMtu,0,"0,00",1000
02/2023,Tablet_APP_Hits,0,"0,00",300
02/2023,Tablet_APP_LaCaliente,0,"0,00",4100
02/2023,Tablet_APP_LaLupe,6,"1,00",2900
02/2023,Tablet_APP_NewTDMx,914,"1,01",96400
02/2023,Tablet_APP_RGDeportiva,0,"0,00",1600
02/2023,Telediario_APP,152,"0,93",20700
02/2023,mundial_qatar,3,"0,00",600
03/2023,AMP_MMTelediarioCR,435588,"0,58",57943
03/2023,AMP_NewTelediarioMx,6398705,"0,63",9977746
03/2023,APP_Classic,1,"1,00",900
03/2023,APP_D99,2,"1,00",2800
03/2023,APP_FMtu,5,"1,00",2300
03/2023,APP_Hits,8,"0,88",2800
03/2023,APP_LaCaliente,3,"1,00",2800
03/2023,APP_LaLupe,4,"1,00",4200
03/2023,APP_MMTelediarioCR,12783,"0,85",2792
03/2023,APP_NewTDMx,22844,"0,80",55766
03/2023,APP_RGLaDeportiva,5,"0,80",2500
03/2023,Default,6454,"0,67",5922
03/2023,Hotsale_slide,439,"0,93",44000
03/2023,MMCostaRica,0,"0,00",700
03/2023,MMDigital,8467764,"0,38",11070053
03/2023,MMDigital_App,1,"0,00",100
03/2023,MMDigital_Passback,1,"0,00",600
03/2023,MMLaguna,5011,"0,77",770
03/2023,MMLaguna_App,294,"0,74",40600
03/2023,MMPuebla,1722,"0,79",201
03/2023,MMRadio,208468,"0,47",35537
03/2023,MMTelediarioCR,4771575,"0,30",9899366
03/2023,MultimediosTest,2,"0,50",500
03/2023,Multimedios_APP,110588,"0,89",20857
03/2023,Multimedios_Radio,102014,"0,85",10535
03/2023,NewTelediarioMx,21331803,"0,22",26321887
03/2023,Oscars,894,"0,56",123
03/2023,Tablet_APP_Classic,0,"0,00",200
03/2023,Tablet_APP_D99,5,"1,00",1900
03/2023,Tablet_APP_FMtu,1,"1,00",200
03/2023,Tablet_APP_LaCaliente,0,"0,00",1100
03/2023,Tablet_APP_LaLupe,1,"1,00",1500
03/2023,Tablet_APP_NewTDMx,1184,"0,98",123
03/2023,Tablet_APP_RGDeportiva,1,"1,00",100
03/2023,Telediario_APP,156,"0,93",21000
03/2023,mundial_qatar,4,"0,25",800
03/2023,test_video_320323,1,"0,00",100
04/2023,AMP_MMTelediarioCR,53437,"0,55",70680
04/2023,AMP_NewTelediarioMx,11171814,"0,62",17612952
04/2023,APP_Classic,10,"0,90",1900
04/2023,APP_D99,3,"1,00",1500
04/2023,APP_FMtu,0,"0,00",200
04/2023,APP_Hits,0,"0,00",700
04/2023,APP_LaCaliente,6,"1,00",3000
04/2023,APP_LaLupe,0,"0,00",900
04/2023,APP_MMTelediarioCR,16181,"0,85",3786
04/2023,APP_NewTDMx,361787,"0,81",96544
04/2023,APP_RGLaDeportiva,4,"1,00",1500
04/2023,Default,5645,"0,56",1060
04/2023,MMDigital,7799928,"0,30",10098003
04/2023,MMDigital_App,3,"0,67",500
04/2023,MMLaguna,3486,"0,85",800
04/2023,MMLaguna_App,240,"0,77",34200
04/2023,MMPuebla,2307,"0,86",332
04/2023,MMRadio,201268,"0,46",32910
04/2023,MMTelediarioCR,6984035,"0,26",14335377
04/2023,Multimedios_APP,96089,"0,89",19117
04/2023,Multimedios_Radio,9079,"0,86",9465
04/2023,NewTelediarioMx,40375608,"0,19",49272158
04/2023,Oscars,2,"0,50",400
04/2023,Tablet_APP_D99,0,"0,00",400
04/2023,Tablet_APP_FMtu,1,"1,00",200
04/2023,Tablet_APP_Hits,0,"0,00",400
04/2023,Tablet_APP_LaCaliente,0,"0,00",700
04/2023,Tablet_APP_NewTDMx,1107,"1,00",117
04/2023,Telediario_APP,103,"0,94",13600
04/2023,mundial_qatar,1,"0,00",200
04/2023,test_video_320323,55532,"0,78",12337
05/2023,AMP_MMTelediarioCR,1416284,"0,51",1728723
05/2023,AMP_NewTelediarioMx,8915722,"0,59",13836643
05/2023,APP_Classic,34,"0,97",4200
05/2023,APP_D99,75,"0,95",10800
05/2023,APP_FMtu,20,"1,00",3000
05/2023,APP_Hits,9,"1,00",4700
05/2023,APP_LaCaliente,9,"1,00",4700
05/2023,APP_LaLupe,12,"1,00",3700
05/2023,APP_MMTelediarioCR,14463,"0,85",4688
05/2023,APP_NewTDMx,376129,"0,81",1031878
05/2023,APP_RGLaDeportiva,29,"0,93",4200
05/2023,Bloque_Hotsale_TD,134786,"0,37",13594
05/2023,Default,6515,"0,58",1567
05/2023,Hotsale_slide,48444817,"0,08",51017651
05/2023,MMCostaRica,628,"0,02",139
05/2023,MMDigital,6975495,"0,32",9433397
05/2023,MMLaguna,7759,"0,85",1378
05/2023,MMLaguna_App,337,"0,83",48000
05/2023,MMPuebla,3004,"0,85",456
05/2023,MMRadio,217654,"0,46",35111
05/2023,MMTelediarioCR,6004432,"0,32",10141140
05/2023,Multimedios_APP,106937,"0,88",21005
05/2023,Multimedios_Radio,18606,"0,91",20013
05/2023,NewTelediarioMx,42245809,"0,19",48753099
05/2023,New_MM_Television,877,"0,39",154
05/2023,Tablet_APP_Classic,36,"0,89",6000
05/2023,Tablet_APP_D99,140,"0,95",28500
05/2023,Tablet_APP_FMtu,3,"1,00",800
05/2023,Tablet_APP_Hits,9,"0,67",2700
05/2023,Tablet_APP_LaCaliente,2,"1,00",3400
05/2023,Tablet_APP_LaLupe,29,"0,93",3900
05/2023,Tablet_APP_NewTDMx,1043,"0,99",115
05/2023,Tablet_APP_RGDeportiva,11,"0,91",3400
05/2023,Telediario_APP,103,"0,92",12800
05/2023,test_video_320323,45823,"0,83",12743
06/2023,AMP_MMTelediarioCR,474609,"0,52",61178
06/2023,AMP_NewTelediarioMx,8071042,"0,57",13034900
06/2023,APP_Classic,1,"1,00",300
06/2023,APP_D99,8,"1,00",2400
06/2023,APP_FMtu,4,"1,00",1100
06/2023,APP_Hits,0,"0,00",1200
06/2023,APP_LaCaliente,0,"0,00",3100
06/2023,APP_LaLupe,0,"0,00",1500
06/2023,APP_MMTelediarioCR,13858,"0,85",4232
06/2023,APP_NewTDMx,322083,"0,82",94911
06/2023,APP_RGLaDeportiva,3,"1,00",1300
06/2023,Bloque_Hotsale_TD,148019,"0,38",15912
06/2023,Default,4972,"0,61",1401
06/2023,Hotsale_slide,13435779,"0,08",14877660
06/2023,MMCostaRica,560,"0,05",146
06/2023,MMDigital,3805050,"0,36",6358674
06/2023,MMLaguna,2377,"0,75",386
06/2023,MMLaguna_App,201,"0,81",29600
06/2023,MMPuebla,2062,"0,70",282
06/2023,MMRadio,15984,"0,48",30605
06/2023,MMTelediarioCR,6118436,"0,28",10755117
06/2023,Multimedios_APP,103904,"0,90",17892
06/2023,Multimedios_Radio,74671,"0,90",8281
06/2023,NewTelediarioMx,28253504,"0,21",33597023
06/2023,New_MM_Television,3295,"0,57",480
06/2023,Tablet_APP_Classic,1,"1,00",500
06/2023,Tablet_APP_D99,0,"0,00",400
06/2023,Tablet_APP_FMtu,1,"1,00",200
06/2023,Tablet_APP_LaCaliente,0,"0,00",1800
06/2023,Tablet_APP_LaLupe,0,"0,00",400
06/2023,Tablet_APP_NewTDMx,1326,"0,98",140
06/2023,Telediario_APP,79,"0,86",10200
06/2023,mundial_qatar,0,"0,00",200
06/2023,test_video_320323,30714,"0,87",8379
07/2023,AMP_MMTelediarioCR,237512,"0,51",32456
07/2023,AMP_NewTelediarioMx,5507570,"0,57",8424600
07/2023,APP_D99,2,"1,00",1200
07/2023,APP_FMtu,5,"1,00",1000
07/2023,APP_Hits,0,"0,00",600
07/2023,APP_LaCaliente,0,"0,00",900
07/2023,APP_LaLupe,0,"0,00",900
07/2023,APP_MMTelediarioCR,12955,"0,85",4096
07/2023,APP_NewTDMx,246177,"0,80",98021
07/2023,APP_RGLaDeportiva,1,"1,00",300
07/2023,Bloque_Hotsale_TD,0,"0,00",600
07/2023,Default,6747,"0,56",2807
07/2023,Hotsale_slide,0,"0,00",3796
07/2023,MMCostaRica,391,"0,01",115
07/2023,MMDigital,3608478,"0,38",6425545
07/2023,MMDigital_App,4,"0,00",600
07/2023,MMLaguna,171,"0,56",249
07/2023,MMLaguna_App,265,"0,77",36000
07/2023,MMPuebla,2426,"0,47",378
07/2023,MMRadio,162914,"0,50",29290
07/2023,MMTelediarioCR,4511054,"0,27",7859029
07/2023,Multimedios_APP,97175,"0,89",17193
07/2023,Multimedios_Radio,97074,"0,92",10235
07/2023,NewTelediarioMx,26407279,"0,21",30623973
07/2023,New_MM_Television,15507,"0,41",2444
07/2023,Tablet_APP_Classic,2,"1,00",800
07/2023,Tablet_APP_LaCaliente,0,"0,00",300
07/2023,Tablet_APP_NewTDMx,969,"0,98",142
07/2023,Telediario_APP,46,"0,89",11200
07/2023,test_video_320323,23846,"0,85",7958
08/2023,AMP_MMTelediarioCR,177608,"0,57",25547
08/2023,AMP_NewTelediarioMx,3547449,"0,61",5588262
08/2023,APP_Classic,39,"1,00",5100
08/2023,APP_D99,39,"1,00",8700
08/2023,APP_FMtu,88,"0,99",10500
08/2023,APP_Hits,0,"0,00",4800
08/2023,APP_LaCaliente,150,"0,97",21200
08/2023,APP_LaLupe,3,"1,00",3600
08/2023,APP_MMTelediarioCR,12806,"0,79",3746
08/2023,APP_NewTDMx,190541,"0,76",89322
08/2023,APP_RGLaDeportiva,23,"0,91",3500
08/2023,Bloque_Hotsale_TD,81566,"0,40",8540
08/2023,Default,6579,"0,58",3226
08/2023,Hotsale_slide,0,"0,00",1462
08/2023,MMCostaRica,258,"0,06",83900
08/2023,MMDigital,3492770,"0,38",6990120
08/2023,MMLaguna,3245,"0,39",410
08/2023,MMLaguna_App,172,"0,88",26000
08/2023,MMPuebla,3378,"0,32",431
08/2023,MMRadio,167005,"0,50",31414
08/2023,MMTelediarioCR,3018523,"0,30",5234297
08/2023,Multimedios_APP,103594,"0,89",17903
08/2023,Multimedios_Radio,94062,"0,90",10022
08/2023,NewTelediarioMx,23084072,"0,21",26355439
08/2023,New_MM_Television,7687,"0,43",2002
08/2023,Tablet_APP_Classic,30,"0,97",5400
08/2023,Tablet_APP_D99,54,"0,98",13400
08/2023,Tablet_APP_Hits,0,"0,00",1100
08/2023,Tablet_APP_LaCaliente,0,"0,00",3100
08/2023,Tablet_APP_LaLupe,0,"0,00",1100
08/2023,Tablet_APP_NewTDMx,870,"0,98",142
08/2023,Tablet_APP_RGDeportiva,14,"1,00",1500
08/2023,Telediario_APP,39,"0,95",9000
08/2023,test_video_320323,36604,"0,87",8447
09/2023,AMP_MMTelediarioCR,245401,"0,59",33844
09/2023,AMP_NewTelediarioMx,3900520,"0,61",6092695
09/2023,APP_Classic,4919,"0,89",598
09/2023,APP_D99,1435,"0,97",165
09/2023,APP_FMtu,2976,"0,94",336
09/2023,APP_Hits,180,"0,95",25000
09/2023,APP_LaCaliente,1111,"0,94",125
09/2023,APP_LaLupe,432,"1,01",47900
09/2023,APP_MMTelediarioCR,9078,"0,85",2875
09/2023,APP_NewMMTV,3277,"0,90",660
09/2023,APP_NewTDMx,204673,"0,77",90699
09/2023,APP_RGLaDeportiva,46116,"0,89",6578
09/2023,Bloque_Hotsale_TD,0,"0,00",600
09/2023,Default,7045,"0,57",2002
09/2023,Hotsale_slide,0,"0,00",1066
09/2023,MMCostaRica,227,"0,07",86000
09/2023,MMDigital,4195296,"0,31",7934365
09/2023,MMLaguna,2382,"0,45",320
09/2023,MMLaguna_App,174,"0,78",25600
09/2023,MMPuebla,2307,"0,33",301
09/2023,MMRadio,184779,"0,49",33448
09/2023,MMTelediarioCR,2693410,"0,32",4796610
09/2023,Multimedios_APP,121432,"0,91",18980
09/2023,Multimedios_Radio,71034,"0,90",7581
09/2023,NewTelediarioMx,23380256,"0,21",26614791
09/2023,New_MM_Television,4168,"0,52",1369
09/2023,Oscars,2,"0,50",200
09/2023,Tablet_APP_Classic,234,"0,83",34500
09/2023,Tablet_APP_D99,63,"0,92",10200
09/2023,Tablet_APP_FMtu,28,"0,93",3400
09/2023,Tablet_APP_Hits,8,"0,88",2900
09/2023,Tablet_APP_LaCaliente,18,"0,78",6200
09/2023,Tablet_APP_LaLupe,13,"1,00",3100
09/2023,Tablet_APP_NewMMTV,1118,"0,87",221
09/2023,Tablet_APP_NewTDMx,891,"0,98",129
09/2023,Tablet_APP_RGDeportiva,809,"0,84",102
09/2023,Telediario_APP,23,"0,91",5900
09/2023,test_video_320323,32467,"0,84",9579
10/2023,AMP_MMTelediarioCR,321563,"0,58",45278
10/2023,AMP_NewTelediarioMx,5124378,"0,61",8174824
10/2023,APP_Classic,10602,"0,91",1326
10/2023,APP_D99,3621,"0,98",415
10/2023,APP_FMtu,323,"0,96",403
10/2023,APP_Hits,459,"0,98",52900
10/2023,APP_LaCaliente,4415,"0,97",481
10/2023,APP_LaLupe,1255,"0,96",146
10/2023,APP_MMTelediarioCR,9419,"0,84",2907
10/2023,APP_NewMMTV,6308,"0,91",13724
10/2023,APP_NewTDMx,425418,"0,80",1152130
10/2023,APP_RGLaDeportiva,71817,"0,90",13878
10/2023,Default,10074,"0,51",20670
10/2023,Hotsale_slide,975,"0,03",1116
10/2023,MMCostaRica,215,"0,02",99800
10/2023,MMDigital,3565105,"0,33",7362624
10/2023,MMDigital_App,4,"0,75",600
10/2023,MMLaguna,1319,"0,51",193
10/2023,MMLaguna_App,183,"0,66",26500
10/2023,MMPuebla,2196,"0,41",246
10/2023,MMRadio,194666,"0,50",36079
10/2023,MMTelediarioCR,3871561,"0,29",7383217
10/2023,MultimediosTest,0,"0,00",300
10/2023,Multimedios_APP,11724,"0,93",17285
10/2023,Multimedios_Radio,78923,"0,89",8545
10/2023,NewTelediarioMx,24576452,"0,19",35046862
10/2023,New_MM_Television,41751,"0,39",1050823
10/2023,Tablet_APP_Classic,413,"0,84",65400
10/2023,Tablet_APP_D99,38,"0,89",6300
10/2023,Tablet_APP_FMtu,29,"0,86",4600
10/2023,Tablet_APP_Hits,3,"0,67",400
10/2023,Tablet_APP_LaCaliente,35,"0,74",6600
10/2023,Tablet_APP_LaLupe,68,"0,99",7900
10/2023,Tablet_APP_NewMMTV,6327,"0,89",1505
10/2023,Tablet_APP_NewTDMx,775,"0,98",118
10/2023,Tablet_APP_RGDeportiva,1493,"0,82",194
10/2023,Telediario_APP,42,"0,98",10300
10/2023,test_video_320323,34038,"0,79",8103
11/2023,AMP_MMTelediarioCR,292065,"0,58",42195
11/2023,AMP_NewTelediarioMx,5302200,"0,59",8314878
11/2023,APP_Classic,13873,"0,93",1608
11/2023,APP_D99,3595,"0,98",410
11/2023,APP_FMtu,179,"0,96",219
11/2023,APP_Hits,590,"0,96",68600
11/2023,APP_LaCaliente,6412,"0,97",694
11/2023,APP_LaLupe,266,"0,96",296
11/2023,APP_MMTelediarioCR,7606,"0,90",2379
11/2023,APP_NewMMTV,133666,"0,92",40277
11/2023,APP_NewTDMx,349369,"0,81",1040267
11/2023,APP_RGLaDeportiva,10751,"0,95",17746
11/2023,Default,8636,"0,67",3598
11/2023,Hotsale_slide,1458,"0,04",724
11/2023,MMCostaRica,168,"0,03",64600
11/2023,MMDigital,747561,"0,60",1125526
11/2023,MMDigital_App,1,"0,00",200
11/2023,MMLaguna,1772,"0,43",228
11/2023,MMLaguna_App,33,"0,94",4100
11/2023,MMPuebla,2118,"0,49",238
11/2023,MMRadio,269396,"0,52",55208
11/2023,MMTelediarioCR,2551664,"0,30",4764146
11/2023,Multimedios_APP,6378,"0,96",849
11/2023,Multimedios_Radio,73428,"0,90",8177
11/2023,NewTelediarioMx,25658924,"0,21",30016677
11/2023,New_MM_Television,1326111,"0,45",5766677
11/2023,Oscars,2,"0,50",600
11/2023,Tablet_APP_Classic,423,"0,83",62400
11/2023,Tablet_APP_D99,42,"0,83",7400
11/2023,Tablet_APP_FMtu,7,"1,14",1600
11/2023,Tablet_APP_Hits,6,"0,83",700
11/2023,Tablet_APP_LaCaliente,12,"0,92",1800
11/2023,Tablet_APP_LaLupe,201,"0,91",22800
11/2023,Tablet_APP_NewMMTV,1302,"0,91",3978
11/2023,Tablet_APP_NewTDMx,623,"0,97",97700
11/2023,Tablet_APP_RGDeportiva,1407,"0,85",176
11/2023,Telediario_APP,24,"0,75",9300
11/2023,test_video_320323,1965,"0,86",3810
12/2023,AMP_MMTelediarioCR,472593,"0,59",65439
12/2023,AMP_NewTelediarioMx,4726963,"0,61",7278697
12/2023,APP_Classic,1128,"0,92",1312
12/2023,APP_D99,396,"0,98",448
12/2023,APP_FMtu,133,"0,98",163
12/2023,APP_Hits,674,"0,97",81000
12/2023,APP_LaCaliente,5092,"0,96",546
12/2023,APP_LaLupe,3049,"0,96",331
12/2023,APP_MMTelediarioCR,6437,"0,86",1844
12/2023,APP_NewMMTV,97685,"0,90",40043
12/2023,APP_NewTDMx,294281,"0,80",89402
12/2023,APP_RGLaDeportiva,124593,"0,94",21007
12/2023,Default,7734,"0,62",3344
12/2023,Hotsale_slide,1255,"0,03",352
12/2023,MMCostaRica,193,"0,02",53300
12/2023,MMDigital,681487,"0,65",1003617
12/2023,MMDigital_App,2,"0,50",300
12/2023,MMLaguna,2362,"0,40",281
12/2023,MMLaguna_App,21,"1,00",3700
12/2023,MMPuebla,1797,"0,29",198
12/2023,MMRadio,31022,"0,55",62292
12/2023,MMTelediarioCR,2440656,"0,30",4479194
12/2023,Multimedios_APP,3016,"0,95",387
12/2023,Multimedios_Radio,106239,"0,91",11432
12/2023,NewTelediarioMx,27461301,"0,18",31567759
12/2023,New_MMRadio,1016,"0,68",245
12/2023,New_MM_Television,831496,"0,38",2630137
12/2023,Tablet_APP_Classic,227,"0,86",36800
12/2023,Tablet_APP_D99,40,"0,90",5700
12/2023,Tablet_APP_FMtu,29,"0,97",3200
12/2023,Tablet_APP_Hits,3,"0,67",300
12/2023,Tablet_APP_LaCaliente,50,"0,90",10200
12/2023,Tablet_APP_LaLupe,186,"0,93",21500
12/2023,Tablet_APP_NewMMTV,12543,"0,88",4275
12/2023,Tablet_APP_NewTDMx,612,"0,98",106
12/2023,Tablet_APP_RGDeportiva,1768,"0,86",218
12/2023,Telediario_APP,22,"0,95",7300
12/2023,test_video_320323,24684,"0,90",3451
01/2024,AMP_MMTelediarioCR,459686,"0,56",62651
01/2024,AMP_NewTelediarioMx,6769020,"0,62",10562517
01/2024,APP_Classic,12358,"0,92",1527
01/2024,APP_D99,3989,"0,96",456
01/2024,APP_FMtu,1118,"0,96",149
01/2024,APP_Hits,667,"0,96",98900
01/2024,APP_LaCaliente,6393,"0,97",692
01/2024,APP_LaLupe,3133,"0,96",342
01/2024,APP_MMTelediarioCR,7078,"0,76",2088
01/2024,APP_NewMMTV,14474,"0,89",50189
01/2024,APP_NewTDMx,338161,"0,79",94318
01/2024,APP_RGLaDeportiva,107363,"0,94",17053
01/2024,Default,9463,"0,61",4292
01/2024,Hotsale_slide,275,"0,07",204
01/2024,MMCostaRica,192,"0,06",65600
01/2024,MMDigital,605479,"0,18",1314163
01/2024,MMLaguna,7322,"0,24",959
01/2024,MMLaguna_App,21,"1,00",2900
01/2024,MMPuebla,2069,"0,42",232
01/2024,MMRadio,290328,"0,56",64159
01/2024,MMTelediarioCR,3786245,"0,22",6482668
01/2024,Multimedios_APP,2006,"0,95",265
01/2024,Multimedios_Radio,79351,"0,90",8369
01/2024,NewTelediarioMx,24351505,"0,22",33174598
01/2024,New_MMRadio,4756,"0,56",607
01/2024,New_MM_Television,766918,"0,36",2639988
01/2024,Tablet_APP_Classic,316,"0,81",50600
01/2024,Tablet_APP_D99,83,"0,92",11700
01/2024,Tablet_APP_FMtu,10,"0,80",1000
01/2024,Tablet_APP_Hits,5,"1,00",700
01/2024,Tablet_APP_LaCaliente,89,"0,87",17900
01/2024,Tablet_APP_LaLupe,116,"0,98",13600
01/2024,Tablet_APP_NewMMTV,12838,"0,87",4878
01/2024,Tablet_APP_NewTDMx,1645,"0,80",246
01/2024,Tablet_APP_RGDeportiva,1359,"0,88",173
01/2024,Telediario_APP,34,"0,97",8200
01/2024,test_video_320323,30885,"0,93",3928
02/2024,AMP_MMTelediarioCR,512264,"0,53",70695
02/2024,AMP_NewTelediarioMx,4967329,"0,60",7770306
02/2024,APP_Classic,13147,"0,93",1599
02/2024,APP_D99,4824,"0,98",566
02/2024,APP_FMtu,102,"0,95",129
02/2024,APP_Hits,977,"0,98",128
02/2024,APP_LaCaliente,695,"0,96",821
02/2024,APP_LaLupe,3392,"0,96",371
02/2024,APP_MMTelediarioCR,5363,"0,87",1633
02/2024,APP_NewMMTV,113448,"0,85",47325
02/2024,APP_NewTDMx,309394,"0,80",77670
02/2024,APP_RGLaDeportiva,101598,"0,94",15763
02/2024,Default,7376,"0,68",2452
02/2024,Hotsale_slide,48,"0,08",86000
02/2024,MMCostaRica,189,"0,04",53200
02/2024,MMDigital,46722,"0,24",1088329
02/2024,MMLaguna,1234,"0,57",176
02/2024,MMLaguna_App,5,"0,80",900
02/2024,MMPuebla,2186,"0,54",245
02/2024,MMRadio,15474,"0,49",33211
02/2024,MMTelediarioCR,3450314,"0,24",6421449
02/2024,MultimediosTest,0,"0,00",200
02/2024,Multimedios_APP,1174,"0,94",164
02/2024,Multimedios_Radio,46365,"0,90",4874
02/2024,NewTelediarioMx,16335158,"0,32",28453361
02/2024,New_MMRadio,76335,"0,60",21883
02/2024,New_MM_Television,753297,"0,34",2047580
02/2024,Tablet_APP_Classic,380,"0,90",61900
02/2024,Tablet_APP_D99,62,"0,95",8700
02/2024,Tablet_APP_FMtu,6,"0,83",600
02/2024,Tablet_APP_Hits,8,"0,88",1600
02/2024,Tablet_APP_LaCaliente,100,"0,86",16100
02/2024,Tablet_APP_LaLupe,193,"0,95",56900
02/2024,Tablet_APP_NewMMTV,11703,"0,85",4782
02/2024,Tablet_APP_NewTDMx,9218,"0,72",1366
02/2024,Tablet_APP_RGDeportiva,1408,"0,88",172
02/2024,Telediario_APP,19,"0,89",6200
02/2024,test_video_320323,2234,"0,94",2886
03/2024,AMP_MMTelediarioCR,836493,"0,49",1112844
03/2024,AMP_NewTelediarioMx,4446748,"0,56",6948205
03/2024,APP_Classic,13376,"0,92",1627
03/2024,APP_D99,5173,"0,98",606
03/2024,APP_FMtu,950,"0,97",121
03/2024,APP_Hits,1648,"0,96",215
03/2024,APP_LaCaliente,8038,"0,96",1088
03/2024,APP_LaLupe,4664,"0,97",508
03/2024,APP_MMTelediarioCR,8627,"0,86",2008
03/2024,APP_NewMMTV,113349,"0,86",46997
03/2024,APP_NewTDMx,250905,"0,80",53139
03/2024,APP_RGLaDeportiva,105502,"0,94",16360
03/2024,Default,8413,"0,61",6478
03/2024,Hotsale_slide,166,"0,01",90000
03/2024,MMCostaRica,150,"0,02",38000
03/2024,MMDigital,402238,"0,29",1182693
03/2024,MMLaguna,495,"0,56",70900
03/2024,MMLaguna_App,6,"1,00",1000
03/2024,MMPuebla,1828,"0,56",209
03/2024,MMRadio,158,"0,42",31400
03/2024,MMTelediarioCR,5308736,"0,22",9757970
03/2024,Multimedios_APP,994,"0,94",140
03/2024,Multimedios_Radio,70,"0,63",7200
03/2024,NewTelediarioMx,21316874,"0,29",41834639
03/2024,New_MMRadio,124605,"0,71",58600
03/2024,New_MM_Television,823444,"0,34",2149704
03/2024,Oscars,0,"0,00",200
03/2024,Tablet_APP_Classic,323,"0,89",51000
03/2024,Tablet_APP_D99,59,"0,95",8100
03/2024,Tablet_APP_FMtu,3,"0,67",300
03/2024,Tablet_APP_Hits,6,"1,00",800
03/2024,Tablet_APP_LaCaliente,58,"0,86",8900
03/2024,Tablet_APP_LaLupe,195,"0,94",22900
03/2024,Tablet_APP_NewMMTV,1295,"0,85",4685
03/2024,Tablet_APP_NewTDMx,12619,"0,75",2208
03/2024,Tablet_APP_RGDeportiva,1412,"0,89",181
03/2024,Telediario_APP,47,"0,91",7800
03/2024,test_video_320323,24749,"0,95",2835
04/2024,AMP_MMTelediarioCR,743926,"0,52",1026145
04/2024,AMP_NewTelediarioMx,5257386,"0,60",8120701
04/2024,APP_Classic,12935,"0,93",1599
04/2024,APP_D99,6432,"0,97",741
04/2024,APP_FMtu,912,"0,96",124
04/2024,APP_Hits,1627,"0,98",202
04/2024,APP_LaCaliente,7933,"0,97",927
04/2024,APP_LaLupe,5535,"0,97",612
04/2024,APP_MMTelediarioCR,15535,"0,84",3439
04/2024,APP_NewMMTV,230756,"0,89",50444
04/2024,APP_NewTDMx,274929,"0,79",54498
04/2024,APP_RGLaDeportiva,152011,"0,95",24060
04/2024,Bloque_Hotsale_TD,75,"0,49",15000
04/2024,Default,8885,"0,63",6889
04/2024,Hotsale_slide,56,"0,00",44000
04/2024,MMCostaRica,136,"0,06",46700
04/2024,MMDigital,373273,"0,30",1373277
04/2024,MMDigital_App,2,"0,00",200
04/2024,MMLaguna,428,"0,58",57700
04/2024,MMLaguna_App,16,"1,00",2000
04/2024,MMPuebla,4668,"0,60",560
04/2024,MMRadio,74,"0,22",18800
04/2024,MMTelediarioCR,6954913,"0,19",12803913
04/2024,Multimedios_APP,871,"0,93",118
04/2024,Multimedios_Radio,28,"0,75",3000
04/2024,NewTelediarioMx,24669334,"0,27",47374116
04/2024,New_MMRadio,145977,"0,78",64669
04/2024,New_MM_Television,855286,"0,43",2799622
04/2024,Tablet_APP_Classic,283,"0,92",41100
04/2024,Tablet_APP_D99,101,"0,97",13200
04/2024,Tablet_APP_LaCaliente,77,"0,90",11200
04/2024,Tablet_APP_LaLupe,234,"0,98",26500
04/2024,Tablet_APP_NewMMTV,29093,"0,89",4923
04/2024,Tablet_APP_NewTDMx,13618,"0,75",2546
04/2024,Tablet_APP_RGDeportiva,1888,"0,90",229
04/2024,Telediario_APP,28,"1,00",8600
04/2024,test_video_320323,30677,"0,96",3632
05/2024,AMP_MMTelediarioCR,886853,"0,52",1266518
05/2024,AMP_NewTelediarioMx,4865289,"0,60",7732578
05/2024,APP_Besame,574,"0,94",120
05/2024,APP_Classic,13103,"0,95",1718
05/2024,APP_D99,4122,"0,98",580
05/2024,APP_FMtu,807,"0,96",116
05/2024,APP_Hits,1779,"0,98",240
05/2024,APP_Kebuena,175,"0,94",26000
05/2024,APP_LaCaliente,8413,"0,96",1303
05/2024,APP_LaGranAW,278,"0,96",56100
05/2024,APP_LaLupe,5097,"0,96",646
05/2024,APP_Los40,145,"0,94",30700
05/2024,APP_MMTelediarioCR,20554,"0,81",4186
05/2024,APP_NewMMTV,227635,"0,90",42233
05/2024,APP_NewTDMx,298607,"0,78",55712
05/2024,APP_RGLaDeportiva,135587,"0,95",21859
